2025-04-09 02:39:39,247 p=42009 u=root n=ansible | Encryption successful
2025-04-09 02:54:30,015 p=43405 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:54:30,046 p=43405 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:54:30,057 p=43405 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:54:30,089 p=43405 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:54:30,110 p=43405 u=root n=ansible | TASK [Configure var for splunk init.d service handler] ***********************************************************************************************
2025-04-09 02:54:30,177 p=43405 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:54:30,208 p=43405 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:54:30,219 p=43405 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:54:30,250 p=43405 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:54:30,271 p=43405 u=root n=ansible | TASK [splunk : Check if Splunk is installed] *********************************************************************************************************
2025-04-09 02:54:30,716 p=43405 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:54:30,733 p=43405 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:54:30,742 p=43405 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:54:30,750 p=43405 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:54:30,772 p=43405 u=root n=ansible | TASK [splunk : Check if active boot-start configuration is systemd] **********************************************************************************
2025-04-09 02:54:31,145 p=43405 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:54:31,161 p=43405 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:54:31,219 p=43405 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:54:31,270 p=43405 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:54:31,292 p=43405 u=root n=ansible | TASK [Set current_start_method var to systemd if systemd is being used for splunk] *******************************************************************
2025-04-09 02:54:31,359 p=43405 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:54:31,394 p=43405 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:54:31,413 p=43405 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:54:31,446 p=43405 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:54:31,466 p=43405 u=root n=ansible | TASK [splunk : Check if active boot-start method is init.d] ******************************************************************************************
2025-04-09 02:54:31,814 p=43405 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:54:31,828 p=43405 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:54:31,875 p=43405 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:54:31,910 p=43405 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:54:31,931 p=43405 u=root n=ansible | TASK [Set current_start_method to initd if initd is being used for splunk] ***************************************************************************
2025-04-09 02:54:31,997 p=43405 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:54:32,030 p=43405 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:54:32,044 p=43405 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:54:32,075 p=43405 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:54:32,096 p=43405 u=root n=ansible | TASK [splunk : set current_start_method to disabled if boot-start is disabled] ***********************************************************************
2025-04-09 02:54:32,163 p=43405 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:54:32,195 p=43405 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:54:32,211 p=43405 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:54:32,242 p=43405 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:54:32,265 p=43405 u=root n=ansible | TASK [splunk : Set boot-start misconfigured var] *****************************************************************************************************
2025-04-09 02:54:32,332 p=43405 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:54:32,364 p=43405 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:54:32,374 p=43405 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:54:32,406 p=43405 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:54:32,427 p=43405 u=root n=ansible | TASK [splunk : Fail the play if the currently configured boot-start method does match the expected state or boot-start is not enabled] ***************
2025-04-09 02:54:32,542 p=43405 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:54:32,575 p=43405 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:54:32,587 p=43405 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:54:32,621 p=43405 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:54:32,642 p=43405 u=root n=ansible | TASK [splunk : Include the specified task file] ******************************************************************************************************
2025-04-09 02:54:32,892 p=43405 u=root n=ansible | included: /opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/remove_splunk.yml for rh8-ds-1, rh8-sh-1, rh8-idx-1, rh8-idx-2
2025-04-09 02:54:32,927 p=43405 u=root n=ansible | TASK [splunk : ansible.builtin.include_tasks] ********************************************************************************************************
2025-04-09 02:54:33,141 p=43405 u=root n=ansible | included: /opt/ansible-role-for-splunk/ansible-role-splunk/roles/splunk/tasks/splunk_stop.yml for rh8-ds-1, rh8-sh-1, rh8-idx-1, rh8-idx-2
2025-04-09 02:54:33,177 p=43405 u=root n=ansible | TASK [Stop splunk] ***********************************************************************************************************************************
2025-04-09 02:54:44,744 p=43405 u=root n=ansible | changed: [rh8-sh-1]
2025-04-09 02:54:44,932 p=43405 u=root n=ansible | changed: [rh8-idx-2]
2025-04-09 02:54:44,976 p=43405 u=root n=ansible | changed: [rh8-ds-1]
2025-04-09 02:54:45,101 p=43405 u=root n=ansible | changed: [rh8-idx-1]
2025-04-09 02:54:45,122 p=43405 u=root n=ansible | TASK [splunk : Disable boot-start] *******************************************************************************************************************
2025-04-09 02:54:46,031 p=43405 u=root n=ansible | changed: [rh8-idx-1]
2025-04-09 02:54:46,071 p=43405 u=root n=ansible | changed: [rh8-ds-1]
2025-04-09 02:54:46,143 p=43405 u=root n=ansible | changed: [rh8-sh-1]
2025-04-09 02:54:46,172 p=43405 u=root n=ansible | changed: [rh8-idx-2]
2025-04-09 02:54:46,193 p=43405 u=root n=ansible | TASK [Remove splunk folder] **************************************************************************************************************************
2025-04-09 02:54:52,766 p=43405 u=root n=ansible | changed: [rh8-sh-1]
2025-04-09 02:54:53,291 p=43405 u=root n=ansible | changed: [rh8-idx-1]
2025-04-09 02:54:53,433 p=43405 u=root n=ansible | changed: [rh8-idx-2]
2025-04-09 02:54:53,570 p=43405 u=root n=ansible | changed: [rh8-ds-1]
2025-04-09 02:54:53,601 p=43405 u=root n=ansible | TASK [Remove splunk service drop-in directory] *******************************************************************************************************
2025-04-09 02:54:53,944 p=43405 u=root n=ansible | changed: [rh8-ds-1]
2025-04-09 02:54:54,010 p=43405 u=root n=ansible | changed: [rh8-sh-1]
2025-04-09 02:54:54,011 p=43405 u=root n=ansible | changed: [rh8-idx-1]
2025-04-09 02:54:54,036 p=43405 u=root n=ansible | changed: [rh8-idx-2]
2025-04-09 02:54:54,064 p=43405 u=root n=ansible | TASK [Remove nix splunk user] ************************************************************************************************************************
2025-04-09 02:54:54,681 p=43405 u=root n=ansible | changed: [rh8-sh-1]
2025-04-09 02:54:54,716 p=43405 u=root n=ansible | changed: [rh8-ds-1]
2025-04-09 02:54:54,736 p=43405 u=root n=ansible | changed: [rh8-idx-2]
2025-04-09 02:54:54,745 p=43405 u=root n=ansible | changed: [rh8-idx-1]
2025-04-09 02:54:54,766 p=43405 u=root n=ansible | TASK [Remove nix splunk group] ***********************************************************************************************************************
2025-04-09 02:54:55,204 p=43405 u=root n=ansible | ok: [rh8-sh-1]
2025-04-09 02:54:55,216 p=43405 u=root n=ansible | ok: [rh8-ds-1]
2025-04-09 02:54:55,218 p=43405 u=root n=ansible | ok: [rh8-idx-1]
2025-04-09 02:54:55,221 p=43405 u=root n=ansible | ok: [rh8-idx-2]
2025-04-09 02:54:55,244 p=43405 u=root n=ansible | TASK [splunk : Remove disable-thp service to systemd (CentOS/RHEL 7+)] *******************************************************************************
2025-04-09 02:54:55,584 p=43405 u=root n=ansible | changed: [rh8-ds-1]
2025-04-09 02:54:55,599 p=43405 u=root n=ansible | changed: [rh8-sh-1]
2025-04-09 02:54:55,647 p=43405 u=root n=ansible | changed: [rh8-idx-1]
2025-04-09 02:54:55,685 p=43405 u=root n=ansible | changed: [rh8-idx-2]
2025-04-09 02:54:55,706 p=43405 u=root n=ansible | TASK [splunk : Remove ulimits] ***********************************************************************************************************************
2025-04-09 02:54:55,741 p=43405 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:54:55,773 p=43405 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:54:55,806 p=43405 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:54:55,815 p=43405 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:54:55,837 p=43405 u=root n=ansible | TASK [Remove splunk firewalld service] ***************************************************************************************************************
2025-04-09 02:54:55,903 p=43405 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:54:55,935 p=43405 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:54:55,936 p=43405 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:54:55,953 p=43405 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:54:55,976 p=43405 u=root n=ansible | TASK [splunk : Remove firewalld service] *************************************************************************************************************
2025-04-09 02:54:56,043 p=43405 u=root n=ansible | skipping: [rh8-ds-1]
2025-04-09 02:54:56,074 p=43405 u=root n=ansible | skipping: [rh8-sh-1]
2025-04-09 02:54:56,075 p=43405 u=root n=ansible | skipping: [rh8-idx-1]
2025-04-09 02:54:56,093 p=43405 u=root n=ansible | skipping: [rh8-idx-2]
2025-04-09 02:54:56,114 p=43405 u=root n=ansible | TASK [splunk : Remove UFW ports] *********************************************************************************************************************
2025-04-09 02:54:56,186 p=43405 u=root n=ansible | skipping: [rh8-ds-1] => (item={'desc': 'Splunk Web', 'protocol': 'tcp', 'number': 8000}) 
2025-04-09 02:54:56,188 p=43405 u=root n=ansible | skipping: [rh8-ds-1] => (item={'desc': 'Splunk API', 'protocol': 'tcp', 'number': 8089}) 
2025-04-09 02:54:56,223 p=43405 u=root n=ansible | skipping: [rh8-sh-1] => (item={'desc': 'Splunk Web', 'protocol': 'tcp', 'number': 8000}) 
2025-04-09 02:54:56,225 p=43405 u=root n=ansible | skipping: [rh8-sh-1] => (item={'desc': 'Splunk API', 'protocol': 'tcp', 'number': 8089}) 
2025-04-09 02:54:56,226 p=43405 u=root n=ansible | skipping: [rh8-sh-1] => (item={'desc': 'Splunk Search Head Clustering Replication', 'protocol': 'tcp', 'number': 8100}) 
2025-04-09 02:54:56,228 p=43405 u=root n=ansible | skipping: [rh8-idx-1] => (item={'desc': 'Splunk Web', 'protocol': 'tcp', 'number': 8000}) 
2025-04-09 02:54:56,233 p=43405 u=root n=ansible | skipping: [rh8-idx-1] => (item={'desc': 'Splunk API', 'protocol': 'tcp', 'number': 8089}) 
2025-04-09 02:54:56,242 p=43405 u=root n=ansible | skipping: [rh8-idx-1] => (item={'desc': 'Splunk TCPIN', 'protocol': 'tcp', 'number': 9997}) 
2025-04-09 02:54:56,252 p=43405 u=root n=ansible | skipping: [rh8-idx-1] => (item={'desc': 'Splunk HEC', 'protocol': 'tcp', 'number': 8088}) 
2025-04-09 02:54:56,260 p=43405 u=root n=ansible | skipping: [rh8-idx-1] => (item={'desc': 'Splunk Indexer Clustering Replication', 'protocol': 'tcp', 'number': 9887}) 
